,Estimate,Std. Error,z value,Pr(>|z|)
bio6,0.044,0.001,30.022,<0.05
bio9,-0.015,0,-36.321,<0.05
bio18,-0.009,0,-29.772,<0.05
bio19,-0.013,0.001,-15.953,<0.05
Vietnam,,,,
cropland,,,,
Intercept,-10.831,0.581,-18.656,<0.05
slope,-10.896,0.316,-34.504,<0.05
bulk,2.129,0.207,10.3,<0.05
awco,-0.011,0.001,-9.849,<0.05
dibu,-0.582,0.026,-22.535,<0.05
dico,0.515,0.033,15.805,<0.05
diri,1.209,0.167,7.245,<0.05
diro,-7.436,0.283,-26.278,<0.05
bio2,-0.028,0.002,-13.028,<0.05
bio3,0.074,0.003,24.267,<0.05
bio8,0.032,0.001,28.897,<0.05
bio12,-0.002,0,-23.913,<0.05
bio15,0.044,0.002,18.812,<0.05
bio17,0.013,0.001,18.597,<0.05
bio18,-0.001,0,-5.207,<0.05
grass/shrubland,,,,
Intercept,8.507,0.72,11.822,<0.05
slope,-3.06,0.266,-11.521,<0.05
bulk,-3.128,0.286,-10.922,<0.05
awco,0.013,0.002,6.381,<0.05
dibu,0.269,0.037,7.292,<0.05
dico,0.515,0.035,14.771,<0.05
diri,-1.135,0.187,-6.079,<0.05
diro,-5.74,0.281,-20.398,<0.05
bio2,0.056,0.002,23.723,<0.05
bio3,-0.149,0.004,-38.105,<0.05
bio8,0.002,0.001,2.135,<0.05
bio12,0.001,0,13.738,<0.05
bio15,-0.066,0.003,-19.636,<0.05
bio17,-0.033,0.001,-30.26,<0.05
bio18,-0.002,0,-14.757,<0.05
forest,,,,
Intercept,-16.325,0.867,-18.824,<0.05
slope,10.845,0.258,42.096,<0.05
bulk,3.115,0.363,8.587,<0.05
awco,0.048,0.002,20.13,<0.05
dibu,0.175,0.029,5.956,<0.05
dico,-0.985,0.032,-30.355,<0.05
diri,1.585,0.178,8.884,<0.05
diro,10.039,0.278,36.11,<0.05
bio2,0.065,0.002,30.138,<0.05
bio3,-0.024,0.003,-7.385,<0.05
bio8,-0.026,0.001,-28.492,<0.05
bio12,0,0,5.301,<0.05
bio15,-0.007,0.002,-2.833,<0.05
bio17,0.011,0.001,16.291,<0.05
bio18,0.001,0,10.373,<0.05
urban,,,,
Intercept,4.469,1.096,4.076,<0.05
bulk,-1.33,0.557,-2.389,<0.05
dibu,-0.472,0.086,-5.464,<0.05
dico,-1.157,0.186,-6.215,<0.05
diro,-22.975,2.197,-10.456,<0.05
bio2,-0.05,0.009,-5.36,<0.05
bio3,-0.022,0.006,-3.729,<0.05
bio18,0,0,-1.099,0.272
other,,,,
Intercept,-6.168,1.972,-3.128,<0.05
slope,-23.035,3.016,-7.636,<0.05
bulk,-2.411,0.384,-6.271,<0.05
awco,0.008,0.002,3.879,<0.05
dico,0.579,0.126,4.612,<0.05
diri,-10.875,0.625,-17.393,<0.05
diro,3.728,0.654,5.699,<0.05
bio2,-0.116,0.006,-18.446,<0.05
bio3,0.097,0.005,18.813,<0.05
bio8,0.039,0.005,7.508,<0.05
bio12,0.001,0,11.803,<0.05
bio15,-0.051,0.008,-6.264,<0.05
